"Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seats_Available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Kaveri Tours and Travels,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),20:50,07h 40m,04:30,5.0,INR 700,21 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,AC Sleeper (2+1),19:25,05h 45m,01:10,4.4,INR 726,12 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Sitara Travels,NON A/C Push Back (2+2),22:00,06h 00m,04:00,4.5,INR 350,24 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Orange Tours And Travels,Volvo 9600 Multi-Axle A/C Sleeper (2+1),21:10,07h 40m,04:50,4.4,925,18 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Holidays Tours and Travels,A/C Seater / Sleeper (2+1),22:20,06h 04m,04:24,4.8,INR 529,18 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Zingbus Plus,A/C Sleeper (2+1),19:25,05h 35m,01:00,4.1,491,13 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),19:15,06h 50m,02:05,4.3,INR 510,18 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Sri Rama Travels,Non A/C Seater / Sleeper (2+1),21:45,06h 30m,04:15,4.2,INR 555,12 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Navayuga Travels,NON AC Seater / Sleeper 2+1,21:20,06h 50m,04:10,4.1,INR 449,23 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Mayuri Travels,Non A/C Seater / Sleeper (2+1),20:40,07h 20m,04:00,4.2,INR 450,15 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,BSR Tours And Travels,A/C Seater / Sleeper (2+1),19:20,07h 10m,02:30,4.5,INR 680,13 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Sri Keerthana Sai Travels,Non A/C Seater / Sleeper (2+1),19:20,04h 25m,23:45,4.4,INR 550,18 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Navayuga Travels,NON AC Seater / Sleeper 2+1,19:50,08h 40m,04:30,4.3,INR 449,22 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Svkdt travels,A/C Sleeper (2+1),20:00,06h 05m,02:05,4.2,INR 799,11 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),19:15,07h 10m,02:25,4.2,INR 450,18 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,BSR Tours And Travels,Volvo 9600 Multi-Axle A/C Sleeper (2+1),19:15,05h 50m,01:05,4.2,1280,24 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Sri KVR Travels,A/C Seater / Sleeper (2+1),19:15,05h 25m,00:40,4.2,INR 799,18 Seats available"
"Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Jayanthi Travels,Non A/C Seater / Sleeper (2+1),20:30,08h 00m,04:30,4.2,415,12 Seats available"
